#,Team Name,League,Division,Team Payroll,W,L,WPct,Rank,lgRank,mlbRank,Last Yr Payroll,Top Salary
1,New York Yankees,AL,East,202689028,97,65,.599,1,1,2,206333389,Alex Rodriguez (1)
2,Philadelphia Phillies,NL,East,172976379,102,60,.630,1,1,1,141927381,Roy Halladay (6)
3,Boston Red Sox,AL,East,161762475,90,72,.556,3,5,9,162747333,Josh Beckett (18)
4,Los Angeles Angels,AL,West,138543166,86,76,.531,2,6,12,105013667,Vernon Wells (2)
5,Chicago White Sox,AL,Central,127789000,79,83,.488,3,9,18,108273197,Jake Peavy (22)
6,Chicago Cubs,NL,Central,125047329,71,91,.438,5,14,26,146859000,Alfonso Soriano (11)
7,New York Mets,NL,East,118847309,77,85,.475,4,10,19,132701445,Carlos Beltran (9)
8,San Francisco Giants,NL,West,118198333,86,76,.531,2,6,11,97828833,Barry Zito (14)
9,Minnesota Twins,AL,Central,112737000,63,99,.389,5,14,29,97559167,Joe Mauer (5)
10,Detroit Tigers,AL,Central,105700231,95,67,.586,1,3,5,122864929,Miguel Cabrera (6)
11,St. Louis Cardinals,NL,Central,105433572,90,72,.556,2,4,8,93540753,Matt Holliday (20)
12,Los Angeles Dodgers,NL,West,104188999,82,79,.509,3,7,13,94945517,Rafael Furcal (46)
13,Texas Rangers,AL,West,92299264,96,66,.593,1,2,4,55250545,Michael Young (21)
14,Colorado Rockies,NL,West,88148071,73,89,.451,4,11,21,84227000,Todd Helton (10)
15,Atlanta Braves,NL,East,87002692,89,73,.549,2,5,10,84423667,Derek Lowe (27)
16,Seattle Mariners,AL,West,86524600,67,95,.414,4,13,28,98376667,Ichiro Suzuki (17)
17,Milwaukee Brewers,NL,Central,85497333,96,66,.593,1,2,3,81108279,Prince Fielder (25)
18,Baltimore Orioles,AL,East,85304038,69,93,.426,5,12,27,81612500,Nick Markakis (72)
19,Cincinnati Reds,NL,Central,75947134,79,83,.488,3,9,17,72386544,Francisco Cordero (58)
20,Houston Astros,NL,Central,70694000,56,106,.346,6,16,30,92355500,Carlos Lee (11)
21,Oakland Athletics,AL,West,66536500,74,88,.457,3,10,20,51654900,Josh Willingham (144)
22,Washington Nationals,NL,East,63856928,80,81,.497,3,8,15,61425000,Jayson Werth (73)
23,Toronto Blue Jays,AL,East,62567800,81,81,.500,4,7,14,62689357,Jose Bautista (101)
24,Florida Marlins,NL,East,56944000,72,90,.444,5,13,22,55641500,Hanley Ramirez (69)
25,Arizona Diamondbacks,NL,West,53639833,94,68,.580,1,3,6,60718167,Kelly Johnson (154)
26,Cleveland Baseball Team,AL,Central,49190566,80,82,.494,2,8,16,61203967,Travis Hafner (46)
27,San Diego Padres,NL,West,45869140,71,91,.438,5,15,25,37799300,Heath Bell (113)
28,Pittsburgh Pirates,NL,Central,45047000,72,90,.444,4,12,23,34943000,Christopher Snyder (141)
29,Tampa Bay Rays,AL,East,41053571,91,71,.562,2,4,7,71923471,Johnny Damon (175)
30,Kansas City Royals,AL,Central,36126000,71,91,.438,4,11,24,72267710,Joakim Soria (216)
