Arizona Diamondbacks,ARI,webcal://mlb.am/tix/diamondbacks_schedule_full
Atlanta Braves,ATL,webcal://mlb.am/tix/braves_schedule_full
Baltimore Orioles,BAL,webcal://mlb.am/tix/orioles_schedule_full
Boston Red Sox,BOS,webcal://mlb.am/tix/redsox_schedule_full
Chicago White Sox,CHW,webcal://mlb.am/tix/whitesox_schedule_full
Chicago Cubs,CHC,webcal://mlb.am/tix/cubs_schedule_full
Cinncinnati Reds,CIN,webcal://mlb.am/tix/reds_schedule_full
Cleveland Indians,CLE,webcal://mlb.am/tix/indians_schedule_full
Colorado Rockies,COL,webcal://mlb.am/tix/rockies_schedule_full
Detroit Tigers,DET,webcal://mlb.am/tix/tigers_schedule_full
Houston Astros,HOU,webcal://mlb.am/tix/astros_schedule_full
Kansas City Royals,KC,webcal://mlb.am/tix/royals_schedule_full
Los Angeles Angels,LAA,webcal://mlb.am/tix/angels_schedule_full
Los Angeles Dodgers,LAD,webcal://mlb.am/tix/dodgers_schedule_full
Miami Marlins,MIA,webcal://mlb.am/tix/marlins_schedule_full
Milwaukee Brewers,MIL,webcal://mlb.am/tix/brewers_schedule_full
Minnesota Twins,MIN,webcal://mlb.am/tix/twins_schedule_full
New York Mets,NYM,webcal://mlb.am/tix/mets_schedule_full
New York Yankees,NYY,webcal://mlb.am/tix/yankees_schedule_full
Oakland Athletics,OAK,webcal://mlb.am/tix/athletics_schedule_full
Philadelphia Phillies,PHI,webcal://mlb.am/tix/phillies_schedule_full
Pittsburgh Pirates,PIT,webcal://mlb.am/tix/pirates_schedule_full
San Diego Padres,SD,webcal://mlb.am/tix/padres_schedule_full
San Francisco Giants,SF,webcal://mlb.am/tix/giants_schedule_full
Seattle Mariners,SEA,webcal://mlb.am/tix/mariners_schedule_full
St. Louis Cardinals,STL,webcal://mlb.am/tix/cardinals_schedule_full
Tampa Bay Rays,TB,webcal://mlb.am/tix/rays_schedule_full
Texas Rangers,TEX,webcal://mlb.am/tix/rangerss_schedule_full
Toronto Blue Jays,TOR,webcal://mlb.am/tix/bluejays_schedule_full
